Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
P53890,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P19211,0.00E+00,0.00E+00,---,---,---,---,1.89E-03,2.16E+00,3.65E-03,8.01E+00,3.65E-03,2.00E+01
P32469,8.61E-05,---,---,---,---,---,---,---,---,---,---,---
P38255,6.01E-05,---,---,---,---,---,---,---,---,---,---,---
Q07540,0.00E+00,0.00E+00,---,---,---,---,3.02E-04,1.84E-01,8.28E-04,4.61E-01,6.31E-04,3.45E-01
P25386,0.00E+00,0.00E+00,---,---,---,---,2.30E-05,4.58E+00,1.32E-05,4.43E-01,2.10E-05,9.98E-01
Q00816,6.28E-05,7.74E-01,---,---,---,---,3.74E-04,2.91E+00,5.68E-04,7.08E+00,4.95E-04,7.73E+00
Q12176,1.26E-05,3.78E-01,---,---,---,---,---,---,---,---,---,---
P36116,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P40563,0.00E+00,0.00E+00,---,---,---,---,9.63E-05,5.54E-01,7.55E-04,3.66E+00,5.22E-04,1.99E+00
P38693,5.88E-05,1.75E-01,---,---,---,---,---,---,---,---,---,---
P40991,8.27E-05,1.95E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.90E-05,6.42E-01
P36027,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P42846,2.37E-04,1.42E+00,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,4.13E-05,2.76E+00,4.04E-05,---
P25451,3.87E-04,---,5.59E-04,2.43E+00,---,---,---,---,---,---,---,---
P22470,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P47118,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P33307,2.65E-05,---,---,---,---,---,---,---,---,---,---,---
P36775,0.00E+00,0.00E+00,2.24E-05,2.73E+00,---,---,0.00E+00,0.00E+00,1.02E-05,1.28E+00,0.00E+00,0.00E+00
P38132,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q02455,2.05E-05,1.10E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q07623,4.01E-04,---,---,---,---,---,---,---,---,---,---,---
P28495,1.02E-04,---,---,---,---,---,---,---,---,---,---,---
P32769,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q3E731,0.00E+00,0.00E+00,---,---,---,---,2.61E-04,3.98E-01,9.77E-04,1.52E+00,2.46E-04,5.14E-01
P21268,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q04432,0.00E+00,0.00E+00,---,---,---,---,4.49E-04,6.44E-01,7.07E-04,8.67E-01,7.74E-04,1.31E+00
P27809,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P40470,3.20E-04,---,---,---,---,---,---,---,---,---,---,---
P69850,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q04839,5.56E-04,1.14E+01,---,---,---,---,---,---,---,---,---,---
Q05785,6.32E-05,1.48E+00,---,---,---,---,6.49E-05,2.17E-01,0.00E+00,0.00E+00,6.28E-05,1.78E-01
Q12509,5.82E-05,---,---,---,---,---,---,---,---,---,---,---
P32472,1.02E-04,8.62E-02,0.00E+00,0.00E+00,---,---,4.74E-04,5.69E-01,3.61E-04,5.35E-01,3.63E-04,3.25E-01
P42935,3.48E-05,---,---,---,---,---,---,---,---,---,---,---
P37263,7.73E-04,---,---,---,---,---,---,---,---,---,---,---
Q99271,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P07277,6.20E-05,---,---,---,---,---,2.08E-04,---,2.15E-04,---,2.47E-04,---
P38624,1.78E-04,---,---,---,---,---,---,---,---,---,---,---
P43594,0.00E+00,0.00E+00,---,---,---,---,3.01E-04,4.64E-01,4.97E-04,2.33E+00,5.70E-04,3.51E+00
P0CW40,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P06738,2.80E-04,---,---,---,---,---,---,---,---,---,---,---
Q99258,1.32E-04,7.56E-01,---,---,---,---,1.27E-03,1.93E+00,1.55E-03,2.75E+00,1.17E-03,2.58E+00
P36036,8.29E-04,---,---,---,---,---,1.26E-04,---,1.80E-04,---,5.93E-05,---
P32804,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P47096,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P54000,1.41E-04,---,---,---,---,---,---,---,---,---,---,---
P33309,3.30E-05,3.66E-01,---,---,---,---,---,---,---,---,---,---
P38789,2.06E-04,---,---,---,---,---,---,---,---,---,---,---
P38282,2.20E-04,---,---,---,---,---,---,---,---,---,---,---
P38758,9.88E-05,---,---,---,---,---,7.60E-05,---,1.37E-04,---,9.49E-05,---
P22696,9.31E-04,1.99E+00,---,---,---,---,8.36E-04,---,7.09E-04,---,6.41E-04,---
P42844,5.37E-04,5.03E+00,---,---,---,---,1.58E-03,---,1.72E-03,1.12E+01,1.54E-03,9.44E+00
P53950,2.36E-05,---,---,---,---,---,---,---,---,---,---,---
P00128,9.03E-04,1.17E+00,---,---,---,---,6.82E-03,1.16E+00,9.42E-03,2.32E+00,1.02E-02,2.38E+00
P40456,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P40022,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P80210,1.82E-04,---,---,---,---,---,2.23E-04,1.06E+01,0.00E+00,---,5.72E-05,2.69E+00
Q08686,1.30E-04,---,---,---,---,---,---,---,---,---,---,---
P40043,1.60E-04,1.41E+00,---,---,---,---,8.12E-04,2.79E+00,5.93E-04,1.08E+01,8.35E-04,3.58E+00
P47035,1.52E-04,2.11E+01,5.37E-05,---,---,---,0.00E+00,0.00E+00,9.87E-05,3.06E+00,0.00E+00,0.00E+00
Q08924,2.51E-05,---,---,---,---,---,---,---,---,---,---,---
P43587,2.10E-03,1.13E+00,---,---,---,---,5.04E-04,4.04E-01,7.69E-04,8.17E-01,9.51E-04,7.90E-01
Q08179,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P53912,1.05E-04,---,---,---,---,---,3.85E-04,9.85E-01,6.67E-04,2.72E+00,4.51E-04,1.65E+00
P09232,8.02E-05,2.10E-01,0.00E+00,0.00E+00,---,---,6.44E-04,2.04E+00,3.38E-04,1.82E+00,4.62E-04,2.23E+00
P46676,4.85E-05,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P08004,0.00E+00,0.00E+00,1.12E-05,6.47E-01,---,---,---,---,---,---,---,---
Q07834,1.57E-04,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P33317,3.55E-04,2.94E+00,---,---,---,---,---,---,---,---,---,---
P36022,0.00E+00,0.00E+00,---,---,---,---,3.46E-06,---,8.80E-06,---,2.92E-06,---
P10849,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P38302,9.23E-05,4.92E-01,---,---,---,---,0.00E+00,---,1.66E-04,---,1.77E-04,---
P20486,6.11E-04,4.83E-01,---,---,---,---,1.70E-04,2.84E+00,7.06E-04,---,5.02E-04,---
P53274,3.42E-04,1.75E+00,---,---,---,---,---,---,---,---,---,---
P40893,2.04E-04,---,---,---,---,---,---,---,---,---,---,---
P40168,0.00E+00,0.00E+00,---,---,---,---,3.12E-03,1.61E+00,5.08E-03,4.26E+00,4.95E-03,3.83E+00
P38817,2.35E-05,7.39E-01,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q12244,3.02E-05,---,---,---,---,---,---,---,---,---,---,---
P38811,6.90E-06,2.78E+00,---,---,---,---,6.82E-06,2.67E+00,0.00E+00,---,0.00E+00,0.00E+00
P32432,1.93E-04,1.44E+01,---,---,---,---,1.14E-04,4.33E+00,2.28E-04,5.81E+00,1.78E-04,6.48E+00
Q08492,5.95E-05,1.01E-01,1.78E-04,---,---,---,5.96E-05,2.27E-01,2.26E-04,8.95E-01,0.00E+00,0.00E+00
Q10740,2.76E-04,---,7.60E-05,3.34E-01,---,---,8.04E-05,---,1.82E-05,---,1.91E-05,---
Q08773,1.14E-05,7.45E-01,---,---,---,---,---,---,---,---,---,---
P24869,5.19E-05,---,---,---,---,---,---,---,---,---,---,---
Q04438,0.00E+00,0.00E+00,---,---,---,---,1.93E-03,6.86E-01,4.47E-03,2.33E+00,3.81E-03,2.34E+00
P53152,3.79E-04,9.64E-01,---,---,---,---,9.74E-04,---,1.13E-03,---,7.18E-04,---
P34163,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,6.35E-05,7.75E-01,0.00E+00,0.00E+00
P32873,3.65E-05,4.82E+00,---,---,---,---,---,---,---,---,---,---
P38889,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P19158,2.07E-05,---,---,---,---,---,0.00E+00,0.00E+00,3.92E-06,---,8.34E-06,---
Q07451,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P06786,1.78E-05,---,---,---,---,---,---,---,---,---,---,---
P43598,1.99E-04,1.10E-01,---,---,---,---,2.91E-03,2.30E+00,1.97E-03,1.23E+00,2.08E-03,2.06E+00
P32795,3.57E-05,7.63E-01,---,---,---,---,3.43E-05,5.62E-01,1.94E-04,1.63E+01,1.16E-04,2.33E+00
P32380,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P08425,5.51E-05,---,---,---,---,---,---,---,---,---,---,---
P38281,8.69E-05,---,---,---,---,---,---,---,---,---,---,---
Q05788,1.65E-04,6.00E+00,---,---,---,---,8.21E-05,---,3.93E-05,---,1.18E-04,---
P33334,3.25E-05,4.42E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P08678,6.38E-06,2.85E-01,0.00E+00,0.00E+00,---,---,1.26E-05,5.44E-01,3.55E-05,8.11E+00,2.96E-05,1.59E+00
Q12044,0.00E+00,0.00E+00,---,---,---,---,7.88E-04,9.09E-01,1.17E-03,1.46E+00,8.70E-04,1.07E+00
P40159,7.27E-04,1.79E-01,---,---,---,---,1.92E-04,3.45E-01,9.02E-04,6.57E+00,1.41E-03,7.40E+00
Q06681,8.86E-06,6.85E-01,---,---,---,---,---,---,---,---,---,---
P40093,1.51E-04,---,2.26E-04,4.00E+00,---,---,---,---,---,---,---,---
P53081,1.33E-04,---,1.76E-04,5.17E+00,---,---,1.87E-04,---,1.27E-04,---,0.00E+00,---
Q03016,3.04E-05,4.23E+00,---,---,---,---,0.00E+00,---,2.82E-05,---,0.00E+00,---
P49954,1.36E-04,---,---,---,---,---,---,---,---,---,---,---
P38922,5.69E-05,---,---,---,---,---,1.13E-04,2.67E+00,5.32E-05,2.73E+00,2.65E-05,---
P40020,0.00E+00,0.00E+00,---,---,---,---,4.38E-05,1.37E+00,1.32E-05,3.19E-01,2.74E-05,1.27E+00
P40341,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
Q04401,1.03E-04,1.18E-01,---,---,---,---,---,---,---,---,---,---
Q03833,2.89E-05,---,---,---,---,---,---,---,---,---,---,---
P53191,0.00E+00,0.00E+00,---,---,---,---,4.03E-05,2.85E+00,3.80E-05,---,1.90E-05,1.31E+00
P43603,8.32E-05,8.64E-01,5.59E-05,---,---,---,3.96E-04,1.63E+00,7.55E-04,3.40E+00,6.39E-04,2.10E+00
P14904,2.03E-04,---,---,---,---,---,2.76E-04,7.68E-01,4.42E-04,1.08E+00,1.90E-04,3.70E-01
P04840,4.75E-04,3.85E+00,---,---,---,---,6.43E-04,5.78E-01,9.68E-04,7.90E-01,8.20E-04,7.08E-01
P40535,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,1.03E-04,1.30E+00,1.24E-04,1.30E+00
P32911,7.40E-04,7.36E-01,---,---,---,---,1.83E-03,3.07E+00,1.88E-03,2.46E+00,1.34E-03,2.57E+00
P38634,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P39004,5.33E-04,1.68E+00,---,---,---,---,---,---,---,---,---,---
P0C2J1,7.82E-06,8.50E-02,1.31E-04,4.05E+00,---,---,---,---,---,---,---,---
P0C2I6,7.82E-06,8.07E-02,---,---,---,---,---,---,---,---,---,---
P53037,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P40090,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P0C2I3,1.52E-05,1.49E-01,---,---,---,---,---,---,---,---,---,---
P32529,6.30E-04,1.46E+00,---,---,---,---,9.43E-04,---,9.59E-04,---,7.88E-04,---
Q02772,0.00E+00,0.00E+00,---,---,---,---,1.59E-03,---,2.77E-03,---,1.91E-03,---
Q03758,1.38E-05,6.94E-01,---,---,---,---,---,---,---,---,---,---
Q04182,2.56E-05,---,---,---,---,---,---,---,---,---,---,---
P53849,2.53E-04,---,---,---,---,---,---,---,---,---,---,---
P15436,2.32E-05,---,---,---,---,---,---,---,---,---,---,---
Q04119,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q99321,4.81E-04,5.86E-01,---,---,---,---,3.55E-04,---,1.26E-04,---,1.32E-04,1.32E+00
P37299,0.00E+00,0.00E+00,---,---,---,---,3.10E-03,6.66E-01,2.17E-03,4.14E-01,2.08E-03,3.89E-01
O74700,0.00E+00,0.00E+00,5.86E-04,---,---,---,2.70E-03,1.50E+00,5.06E-03,3.68E+00,5.05E-03,3.12E+00
O13535,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P38112,4.99E-05,4.15E+00,---,---,---,---,---,---,---,---,---,---
P40165,2.13E-04,---,---,---,---,---,7.56E-04,---,7.81E-04,---,7.07E-04,6.14E+00
Q06511,5.26E-04,1.54E+01,---,---,---,---,---,---,---,---,---,---
P37304,3.11E-05,---,3.05E-05,2.72E+00,---,---,---,---,---,---,---,---
P47006,7.69E-04,1.97E+00,---,---,---,---,1.17E-03,5.01E+00,1.03E-03,5.18E+00,1.05E-03,3.75E+00
P47089,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q00416,1.16E-05,---,---,---,---,---,0.00E+00,---,5.20E-06,6.54E-01,5.40E-06,1.31E+00
P50942,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
A5Z2X5,5.44E-04,6.26E-01,---,---,---,---,2.92E-03,---,2.83E-03,---,2.88E-03,---
Q12753,3.70E-05,3.10E-01,---,---,---,---,3.69E-05,9.10E-01,1.58E-04,---,1.94E-04,7.17E+00
P08153,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P38990,1.12E-05,6.85E-01,---,---,---,---,---,---,---,---,---,---
P34227,0.00E+00,0.00E+00,---,---,---,---,2.07E-03,---,2.38E-03,1.76E+01,2.10E-03,1.43E+01
P01098,0.00E+00,0.00E+00,---,---,---,---,1.11E-02,1.96E+00,8.43E-03,1.79E+00,1.26E-02,2.44E+00
P39002,3.67E-05,---,---,---,---,---,---,---,---,---,---,---
Q12389,5.12E-05,---,---,---,---,---,---,---,---,---,---,---
Q12443,0.00E+00,0.00E+00,---,---,---,---,3.62E-04,6.19E-01,5.77E-04,1.24E+00,5.57E-04,1.56E+00
Q12263,5.64E-05,---,---,---,---,---,---,---,---,---,---,---
P40052,3.10E-04,3.32E-01,---,---,---,---,1.76E-03,2.52E+00,2.11E-03,4.80E+00,2.35E-03,5.88E+00
P38266,0.00E+00,0.00E+00,---,---,---,---,1.37E-04,---,4.04E-04,3.99E+01,2.98E-04,---
Q08742,2.59E-04,1.65E-01,---,---,---,---,1.92E-03,1.07E+00,3.22E-03,2.38E+00,3.21E-03,2.43E+00
Q08220,1.06E-04,---,---,---,---,---,1.10E-04,1.18E+00,2.49E-05,1.91E-01,1.27E-04,9.48E-01
P53754,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q12080,5.60E-05,---,---,---,---,---,0.00E+00,---,1.83E-04,---,1.05E-04,---
Q08422,6.94E-04,5.49E-01,---,---,---,---,7.68E-04,---,1.12E-03,1.90E+01,7.99E-04,---
P36006,3.03E-05,2.09E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
P53897,2.39E-04,1.78E-01,---,---,---,---,1.16E-03,4.19E+00,1.86E-03,5.54E+00,2.54E-03,7.62E+00
Q05518,0.00E+00,0.00E+00,---,---,---,---,2.31E-04,---,6.45E-04,1.80E+01,6.26E-04,3.27E+01
Q12515,2.20E-04,7.80E-01,---,---,---,---,---,---,---,---,---,---
P36080,1.18E-04,5.60E+00,---,---,---,---,---,---,---,---,---,---
P09937,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P17121,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P07281,7.30E-03,9.74E-01,1.04E-02,1.70E+00,---,---,6.68E-03,2.43E+00,6.47E-03,2.69E+00,5.27E-03,2.07E+00
P39715,6.09E-05,4.68E-01,---,---,---,---,---,---,---,---,---,---
Q9P305,0.00E+00,0.00E+00,---,---,---,---,1.62E-03,7.62E+00,2.11E-03,4.99E+00,2.33E-03,3.31E+01
P38809,3.21E-04,1.27E+00,---,---,---,---,---,---,---,---,---,---
P40212,2.68E-03,1.65E+00,---,---,---,---,5.12E-03,3.17E+00,4.15E-03,2.13E+00,4.43E-03,2.36E+00
P53753,3.56E-04,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P32191,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P32860,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,1.03E-03,1.41E+01,8.13E-04,5.55E+00
P28817,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q12490,---,---,1.46E-05,9.21E-01,---,---,---,---,---,---,---,---
Q03855,---,---,1.16E-04,3.09E+00,---,---,---,---,---,---,---,---
Q3E757,---,---,1.75E-03,8.04E-01,---,---,---,---,---,---,---,---
P53312,---,---,2.38E-04,1.21E+00,---,---,---,---,---,---,---,---
P32492,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P10964,---,---,7.60E-06,3.36E-01,---,---,1.62E-05,2.96E+00,0.00E+00,---,3.04E-05,---
P38853,---,---,2.17E-05,9.04E-01,---,---,0.00E+00,0.00E+00,1.04E-05,1.21E-01,0.00E+00,0.00E+00
P33297,---,---,2.94E-04,4.41E+00,---,---,2.94E-05,1.24E-01,5.24E-04,2.75E+00,5.85E-04,4.47E+00
P39936,---,---,8.31E-05,4.03E+00,---,---,0.00E+00,0.00E+00,2.60E-05,6.51E-01,3.94E-05,1.90E+00
Q12211,---,---,2.33E-05,3.30E-01,---,---,---,---,---,---,---,---
Q06337,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P12612,---,---,2.27E-04,---,---,---,---,---,---,---,---,---
P38067,---,---,1.02E-04,1.77E+00,---,---,---,---,---,---,---,---
Q06440,---,---,1.97E-05,1.35E-01,---,---,3.94E-05,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P38197,---,---,1.48E-04,4.44E-01,---,---,---,---,---,---,---,---
P47988,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P38989,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P38272,---,---,8.98E-05,---,---,---,---,---,---,---,---,---
Q02875,---,---,3.02E-05,5.48E-01,---,---,---,---,---,---,---,---
Q08236,---,---,2.15E-05,---,---,---,---,---,---,---,---,---
P23615,---,---,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P22141,---,---,3.85E-04,1.97E+00,---,---,---,---,---,---,---,---
Q04728,---,---,2.60E-04,1.23E+01,---,---,---,---,---,---,---,---
P43621,---,---,9.30E-05,5.39E+00,---,---,---,---,---,---,---,---
P25293,---,---,3.03E-05,3.34E-01,---,---,3.40E-05,3.04E-01,0.00E+00,0.00E+00,3.08E-05,2.74E-01
P40510,---,---,8.14E-05,5.66E-01,---,---,---,---,---,---,---,---
P35207,---,---,1.97E-05,---,---,---,---,---,---,---,---,---
Q06704,---,---,5.58E-05,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P40559,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q08581,---,---,1.56E-05,6.81E-01,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32528,---,---,2.07E-05,---,---,---,6.99E-06,7.05E-01,0.00E+00,0.00E+00,6.51E-06,---
P27692,---,---,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,---,1.12E-05,4.27E-01
P15303,---,---,4.95E-05,4.09E+00,---,---,---,---,---,---,---,---
P36076,---,---,4.44E-05,---,---,---,0.00E+00,0.00E+00,2.03E-05,---,8.44E-05,---
P21304,---,---,4.39E-05,1.32E+00,---,---,---,---,---,---,---,---
P14906,---,---,1.91E-05,6.81E-01,---,---,---,---,---,---,---,---
P40303,---,---,2.51E-04,3.34E+00,---,---,1.12E-04,---,0.00E+00,0.00E+00,0.00E+00,---
P32590,---,---,2.38E-04,1.34E+00,---,---,1.72E-04,9.18E-01,1.37E-04,1.15E+00,1.11E-04,9.09E-01
P27472,---,---,3.62E-05,5.25E-01,---,---,---,---,---,---,---,---
P39744,---,---,3.61E-05,---,---,---,---,---,---,---,---,---
P38065,---,---,3.72E-05,---,---,---,---,---,---,---,---,---
P47029,---,---,2.42E-05,---,---,---,---,---,---,---,---,---
Q03028,---,---,2.47E-04,4.11E+00,---,---,---,---,---,---,---,---
P38250,---,---,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.52E-05,1.27E+00
P39705,---,---,2.35E-05,6.47E-01,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P25646,---,---,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
P22133,---,---,6.72E-05,8.73E-01,---,---,---,---,---,---,---,---
P25605,---,---,1.65E-04,---,---,---,---,---,---,---,---,---
P50875,---,---,6.37E-05,---,---,---,---,---,---,---,---,---
P33327,---,---,2.32E-05,8.84E-01,---,---,---,---,---,---,---,---
P38840,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q12754,---,---,3.13E-05,---,---,---,---,---,---,---,---,---
P38931,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P53044,---,---,7.11E-05,---,---,---,0.00E+00,---,3.21E-05,3.11E-01,0.00E+00,0.00E+00
Q12068,---,---,3.70E-05,3.40E-01,---,---,---,---,---,---,---,---
P49367,---,---,5.48E-05,---,---,---,---,---,---,---,---,---
P38199,---,---,1.01E-04,---,---,---,---,---,---,---,---,---
Q07657,---,---,4.66E-05,---,---,---,---,---,---,---,---,---
P24280,---,---,1.67E-04,---,---,---,8.40E-05,---,0.00E+00,---,0.00E+00,---
P32774,---,---,4.18E-04,1.77E+00,---,---,1.16E-04,2.56E-01,6.98E-04,1.55E+00,4.98E-04,1.08E+00
Q04636,---,---,6.88E-05,---,---,---,---,---,---,---,---,---
P21264,---,---,6.71E-05,---,---,---,---,---,---,---,---,---
Q02204,---,---,1.45E-04,---,---,---,9.71E-05,2.32E-01,9.25E-05,2.98E-01,1.36E-04,2.95E-01
P12695,---,---,2.63E-05,6.72E-01,---,---,0.00E+00,0.00E+00,2.51E-05,1.00E-01,7.47E-05,4.79E-01
Q03823,---,---,3.14E-05,---,---,---,---,---,---,---,---,---
P38174,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P16451,---,---,6.26E-05,1.36E+00,---,---,5.65E-04,6.31E+00,7.61E-04,1.69E+01,5.87E-04,1.30E+01
P29539,---,---,4.65E-05,9.59E+00,---,---,---,---,---,---,---,---
Q05016,---,---,4.81E-05,4.56E-01,---,---,---,---,---,---,---,---
P47160,---,---,6.20E-05,---,---,---,0.00E+00,0.00E+00,2.84E-05,2.45E-01,0.00E+00,0.00E+00
P35842,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P38774,---,---,1.55E-04,---,---,---,---,---,---,---,---,---
P09734,---,---,1.15E-04,2.67E+00,---,---,---,---,---,---,---,---
P35189,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q06090,---,---,1.83E-04,---,---,---,---,---,---,---,---,---
P36047,---,---,7.49E-05,---,---,---,---,---,---,---,---,---
O13547,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P39720,---,---,4.87E-05,1.82E+00,---,---,---,---,---,---,---,---
P38929,---,---,2.16E-05,2.59E+00,---,---,---,---,---,---,---,---
P41895,---,---,3.44E-05,---,---,---,---,---,---,---,---,---
Q12746,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P34241,---,---,2.15E-05,1.98E+00,---,---,---,---,---,---,---,---
P39113,---,---,0.00E+00,0.00E+00,---,---,8.95E-06,---,2.55E-05,---,3.33E-05,---
P32379,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q08977,---,---,0.00E+00,0.00E+00,---,---,2.35E-04,3.59E+00,4.36E-04,3.29E+00,3.96E-04,2.60E+00
P53633,---,---,1.44E-04,---,---,---,---,---,---,---,---,---
P47771,---,---,2.50E-05,2.64E-01,---,---,---,---,---,---,---,---
Q8TGK4,---,---,5.25E-04,---,---,---,---,---,---,---,---,---
P38986,---,---,6.65E-05,1.33E+00,---,---,---,---,---,---,---,---
P39993,---,---,1.73E-05,---,---,---,---,---,---,---,---,---
P54786,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P13433,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P38086,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P29465,---,---,3.26E-05,---,---,---,---,---,---,---,---,---
Q12499,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P36059,---,---,7.52E-05,---,---,---,---,---,---,---,---,---
P32501,---,---,5.36E-05,---,---,---,---,---,---,---,---,---
Q6Q547,---,---,6.55E-04,3.88E+00,---,---,1.10E-03,---,1.86E-03,6.01E+00,1.90E-03,---
P53109,---,---,6.75E-05,---,---,---,---,---,---,---,---,---
Q12083,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P10961,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P40151,---,---,4.31E-05,---,---,---,---,---,---,---,---,---
P32644,---,---,3.40E-05,3.90E+00,---,---,---,---,---,---,---,---
Q04952,---,---,1.42E-05,---,---,---,---,---,---,---,---,---
P32333,---,---,2.04E-05,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P19454,---,---,7.46E-05,---,---,---,---,---,---,---,---,---
Q12674,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q04377,---,---,3.39E-05,---,---,---,---,---,---,---,---,---
Q92331,---,---,3.75E-05,---,---,---,---,---,---,---,---,---
P38717,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P38114,---,---,2.31E-05,---,---,---,---,---,---,---,---,---
Q12018,---,---,3.15E-05,---,---,---,---,---,---,---,---,---
P40441,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
Q05930,---,---,4.24E-05,---,---,---,---,---,---,---,---,---
