,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS3 PE=1 SV=5,RPS3 SUF14 YNL178W N1653,P05750,9.42,240,26371.56,0,0,Cytoplasm. ,"90S preribosome; DNA-(apurinic or apyrimidinic site) lyase activity; RNA binding; cytoplasmic translation; cytosolic small ribosomal subunit; preribosome, small subunit precursor; rRNA export from nucleus; ribosomal small subunit export from nucleus; structural constituent of ribosome",4.82E-04,5.47E-04,7.43E-05,6.45E-05,6.49E+00,6.41E-03,7.09E-04,6.09E-03,4.67E-04,1.05E+00,6.96E-03,8.59E-04,4.13E-03,8.61E-04,1.69E+00,9.41E-04,2.64E-04,2.68E-04,6.01E-05,3.51E+00,3.46E-04,3.06E-04,2.29E-04,9.39E-06,1.51E+00,5.67E-04,2.03E-04,2.73E-04,6.27E-05,2.08E+00,
"Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSC1 PE=1 SV=1",SSC1 ENS1 YJR045C J1639,P0CS90,5.24,654,68095.84,0,0,Mitochondrion matrix. Nucleus. ,ATP binding; ATPase activity; TRC complex; enzyme regulator activity; mitochondrial nucleoid; nucleus; positive regulation of endodeoxyribonuclease activity; presequence translocase-associated import motor; protein import into mitochondrial matrix; protein refolding; protein unfolding; response to stress,9.79E-04,2.71E-04,3.95E-04,1.36E-04,2.48E+00,1.93E-03,1.89E-04,1.28E-03,3.57E-04,1.51E+00,3.12E-03,2.01E-03,1.49E-03,1.27E-04,2.10E+00,6.75E-04,2.06E-04,7.94E-04,2.69E-04,8.50E-01,4.00E-04,1.28E-04,8.27E-04,5.08E-05,4.84E-01,4.54E-04,1.70E-04,9.89E-04,1.18E-04,4.59E-01,
6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1,PFK1 YGR240C G8599,P16861,5.98,987,107970.26,2,Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. ,Cytoplasm. ,6-phosphofructokinase activity; 6-phosphofructokinase complex; ATP binding; fructose 6-phosphate metabolic process; glycolysis; metal ion binding; mitochondrion; proton transport,1.20E-04,7.89E-05,9.29E-06,1.61E-05,1.29E+01,1.06E-03,5.74E-05,7.59E-04,9.22E-05,1.39E+00,1.26E-03,2.59E-04,7.70E-04,1.52E-04,1.64E+00,1.22E-04,7.28E-05,0.00E+00,0.00E+00,---,1.09E-04,3.64E-05,0.00E+00,0.00E+00,---,1.65E-04,1.29E-04,9.50E-06,1.64E-05,1.74E+01,
Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3,GPM1 GPM YKL152C YKL607,P00950,8.86,247,27477.37,5,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. ,0,cytosol; gluconeogenesis; glycolysis; mitochondrial intermembrane space; phosphoglycerate mutase activity,9.96E-03,2.08E-03,3.00E-03,6.30E-04,3.32E+00,3.45E-03,4.84E-04,5.88E-03,3.11E-04,5.87E-01,5.29E-03,8.92E-04,4.39E-03,3.39E-05,1.21E+00,8.16E-03,3.61E-03,2.09E-03,1.11E-04,3.91E+00,4.20E-03,7.61E-04,2.08E-03,5.67E-04,2.02E+00,4.94E-03,9.87E-04,2.16E-03,2.69E-04,2.29E+00,
40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS2 PE=1 SV=3,RPS2 RPS4 SUP38 SUP44 YGL123W G2893,P25443,10.44,254,27318.61,0,0,Cytoplasm. Nucleus â€º nucleolus. ,SSU rRNA binding; cytosolic small ribosomal subunit; nucleolus; positive regulation of translational fidelity; rRNA export from nucleus; rRNA processing; small-subunit processome; structural constituent of ribosome; translation,3.60E-04,7.94E-05,0.00E+00,0.00E+00,---,3.81E-03,1.17E-04,2.87E-03,2.88E-04,1.32E+00,5.19E-03,2.00E-03,2.95E-03,5.60E-04,1.76E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
40S ribosomal protein S4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS4A PE=1 SV=1,RPS4A RPS7B YJR145C J2186,P0CX35,10.09,261,29279,0,0,Cytoplasm. ,90S preribosome; cytoplasmic translation; cytosolic small ribosomal subunit; rRNA binding; structural constituent of ribosome,---,---,---,---,---,5.01E-03,1.04E-03,4.63E-03,5.11E-04,1.08E+00,6.06E-03,1.54E-03,3.67E-03,7.67E-04,1.65E+00,6.42E-04,4.40E-04,0.00E+00,0.00E+00,---,3.66E-04,7.40E-05,0.00E+00,0.00E+00,---,4.17E-04,2.33E-04,0.00E+00,0.00E+00,---,
Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,URA2 YJL130C J0686,P07259,5.57,2214,245040.76,6,Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 2/3. ,Cytoplasm. ,'de novo' UMP biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; ATP binding; amino acid binding; aspartate carbamoyltransferase activity; carbamoyl phosphate biosynthetic process; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; glutamine catabolic process; glutamine metabolic process; integral to membrane; metal ion binding; mitochondrion; negative regulation of pyrimidine nucleobase metabolic process,---,---,---,---,---,1.66E-04,4.90E-05,8.53E-05,2.79E-05,1.95E+00,2.28E-04,8.29E-05,6.92E-05,2.48E-05,3.29E+00,1.16E-05,2.01E-05,1.24E-05,1.22E-05,9.31E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,1.67E-05,1.63E-05,4.31E-06,7.47E-06,3.87E+00,
Cluster of Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3 (RS27A_YEAST),RPS31 RPS37 UBI3 YLR167W L9470.14,P05759,6.56,152,8556.78,0,0,Cytoplasm. Nucleus.  Cytoplasm. ,"DNA repair; cytoplasmic translation; cytosolic small ribosomal subunit; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S); metal ion binding; nucleus; protein tag; ribosomal small subunit assembly; structural constituent of ribosome",1.54E-03,6.43E-04,2.19E-03,3.23E-04,7.01E-01,3.43E-03,7.57E-04,1.25E-02,2.59E-03,2.74E-01,1.59E-03,2.98E-05,1.13E-02,9.32E-04,1.41E-01,1.12E-03,2.44E-04,7.27E-03,8.51E-04,1.54E-01,1.02E-03,1.57E-04,1.12E-02,1.17E-03,9.19E-02,1.05E-03,1.17E-04,1.18E-02,1.12E-03,8.90E-02,
    Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL40A PE=1 SV=1,RPL40A UBI1 YIL148W,P0CH08,6.56,128,8556.78,0,0,Cytoplasm. Nucleus.  Cytoplasm. ,DNA repair; cytoplasmic translation; cytosolic large ribosomal subunit; nucleus; protein tag; protein ubiquitination; ribosome biogenesis; structural constituent of ribosome,1.11E-03,7.51E-04,2.61E-03,3.84E-04,4.26E-01,3.28E-03,7.93E-04,1.47E-02,3.14E-03,2.23E-01,1.17E-03,9.19E-05,1.33E-02,1.04E-03,8.83E-02,1.33E-03,2.90E-04,8.64E-03,1.01E-03,1.54E-01,1.22E-03,1.87E-04,1.32E-02,1.39E-03,9.19E-02,1.34E-03,1.93E-04,1.41E-02,1.21E-03,9.56E-02,
"Leucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1",CDC60 YPL160W P2564,P26637,5.61,1090,124141.56,6,0,Cytoplasm. ,ATP binding; aminoacyl-tRNA editing activity; cytoplasm; leucine-tRNA ligase activity; leucyl-tRNA aminoacylation; regulation of TOR signaling cascade; regulation of translational fidelity,4.50E-04,2.71E-04,7.35E-05,4.17E-05,6.12E+00,8.75E-04,7.63E-05,1.04E-03,8.52E-05,8.44E-01,4.74E-04,2.78E-04,8.47E-04,1.32E-04,5.60E-01,1.98E-04,1.21E-04,8.44E-05,1.38E-05,2.35E+00,9.83E-05,3.07E-05,4.93E-05,4.27E-05,1.99E+00,1.71E-04,9.78E-05,6.88E-05,1.50E-05,2.49E+00,
Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1,ACT1 ABY1 END7 YFL039C,P60010,5.44,375,41689.63,0,0,Cytoplasm â€º cytoskeleton. ,ATP binding; DNA repair; Ino80 complex; NuA4 histone acetyltransferase complex; Swr1 complex; actin cortical patch; actin filament; actin filament bundle; actomyosin contractile ring contraction; ascospore wall assembly; budding cell isotropic bud growth; cellular bud neck contractile ring; cellular response to oxidative stress; chronological cell aging; endocytosis; establishment of mitotic spindle orientation; exocytosis; histone acetylation; mitochondrion inheritance; protein secretion; regulation of transcription from RNA polymerase II promoter; structural constituent of cytoskeleton; vacuole inheritance; vesicle transport along actin filament,9.48E-04,1.42E-04,2.84E-04,1.31E-04,3.34E+00,1.80E-03,3.15E-04,2.31E-03,2.75E-04,7.78E-01,2.45E-03,5.67E-04,3.12E-03,2.60E-04,7.84E-01,8.71E-04,2.84E-04,5.40E-04,3.96E-05,1.61E+00,8.93E-04,6.68E-05,2.19E-04,6.85E-05,4.08E+00,8.29E-04,4.49E-04,3.50E-04,4.39E-05,2.37E+00,
Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3,TDH2 GPD2 YJR009C J1433,P00358,6.49,332,35715.66,1,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. ,Cytoplasm. ,NAD binding; NADP binding; apoptotic process; fungal-type cell wall; gluconeogenesis; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; glycolysis; lipid particle; mitochondrion; plasma membrane; reactive oxygen species metabolic process,4.92E-02,3.49E-03,4.45E-03,6.69E-04,1.10E+01,1.85E-02,6.28E-04,1.72E-02,7.07E-04,1.08E+00,2.14E-02,1.40E-04,1.42E-02,4.75E-04,1.50E+00,2.24E-02,5.18E-03,3.59E-03,1.56E-03,6.24E+00,1.42E-02,5.92E-04,3.47E-03,6.64E-04,4.10E+00,1.86E-02,7.68E-03,2.93E-03,1.52E-04,6.35E+00,
"Ketol-acid reductoisomerase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV5 PE=1 SV=1",ILV5 YLR355C L9638.7,P06168,6.31,395,39177.24,1,Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 2/4. Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 2/4. ,Mitochondrion. ,branched-chain amino acid biosynthetic process; coenzyme binding; double-stranded DNA binding; isoleucine biosynthetic process; ketol-acid reductoisomerase activity; metal ion binding; mitochondrial genome maintenance; mitochondrial nucleoid; valine biosynthetic process,7.91E-04,2.37E-04,2.16E-05,3.75E-05,3.65E+01,3.96E-03,2.65E-04,2.38E-03,3.58E-04,1.66E+00,3.73E-03,5.59E-04,2.27E-03,4.15E-04,1.64E+00,1.40E-04,1.66E-04,0.00E+00,0.00E+00,---,2.15E-04,1.93E-04,0.00E+00,0.00E+00,---,1.90E-04,1.95E-04,0.00E+00,0.00E+00,---,
V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3,VMA1 CLS8 TFP1 YDL185W D1286,P17255,5.24,1071,30703.05,3,0,Endomembrane system. Vacuole membrane. ,"ATP binding; ATP hydrolysis coupled proton transport; DNA binding; cellular protein metabolic process; endodeoxyribonuclease activity; endomembrane system; fungal-type vacuole membrane; intein-mediated protein splicing; intron homing; proton-transporting ATPase activity, rotational mechanism; vacuolar acidification; vacuolar proton-transporting V-type ATPase, V1 domain",7.59E-04,3.16E-05,0.00E+00,0.00E+00,---,7.71E-04,1.32E-04,7.44E-04,5.38E-05,1.04E+00,8.83E-04,1.96E-04,6.04E-04,1.03E-04,1.46E+00,8.73E-04,2.71E-04,4.24E-05,7.35E-05,2.06E+01,5.13E-04,9.94E-05,8.95E-06,1.55E-05,5.73E+01,4.50E-04,2.06E-04,8.75E-06,1.52E-05,5.15E+01,
Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM1 PE=1 SV=1,TPM1 YNL079C N2332,P17536,4.58,199,23540.74,0,0,Cytoplasm â€º cytoskeleton. ,actin filament bundle; actin filament bundle assembly; actin lateral binding; actin polymerization or depolymerization; budding cell apical bud growth; budding cell isotropic bud growth; cellular bud neck contractile ring; establishment of cell polarity; exocytosis; intracellular mRNA localization; mitochondrion inheritance; pseudohyphal growth; vacuole inheritance,2.82E-03,5.96E-04,2.34E-02,6.77E-03,1.20E-01,1.21E-03,5.85E-04,6.73E-03,3.05E-04,1.80E-01,1.55E-03,4.53E-04,9.27E-03,5.44E-04,1.68E-01,2.11E-03,7.19E-04,1.32E-02,1.54E-03,1.60E-01,2.05E-03,3.10E-04,1.32E-02,5.42E-04,1.56E-01,1.85E-03,1.22E-04,1.42E-02,1.14E-03,1.30E-01,
"Valine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAS1 PE=1 SV=2",VAS1 YGR094W,P07806,5.95,1104,119994.91,6,0,Cytoplasm.  Mitochondrion. ,ATP binding; aminoacyl-tRNA editing activity; mitochondrion; regulation of translational fidelity; valine-tRNA ligase activity; valyl-tRNA aminoacylation,1.54E-04,7.97E-05,2.46E-05,2.53E-05,6.26E+00,7.14E-04,1.22E-04,4.98E-04,1.25E-04,1.43E+00,4.62E-04,9.95E-05,5.54E-04,6.57E-05,8.34E-01,1.31E-04,1.05E-04,1.68E-05,1.46E-05,7.80E+00,2.20E-05,1.91E-05,0.00E+00,0.00E+00,---,5.58E-05,2.01E-05,6.79E-05,2.94E-05,8.21E-01,
Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2,TIF4631 YGR162W,P39935,5.8,952,107101.37,0,0,Cytoplasm. ,DNA binding; RNA metabolic process; cytoplasmic stress granule; eukaryotic translation initiation factor 4F complex; mitochondrion; regulation of translation; ribosomal large subunit biogenesis; ribosome; stress granule assembly; translation initiation factor activity,0.00E+00,0.00E+00,5.53E-05,4.54E-05,0.00E+00,2.80E-04,1.05E-04,2.88E-04,6.81E-05,9.73E-01,5.65E-04,3.90E-04,4.26E-04,8.32E-05,1.33E+00,1.81E-04,2.06E-05,2.90E-04,9.86E-06,6.22E-01,3.02E-04,4.36E-05,3.67E-04,5.80E-05,8.23E-01,2.94E-04,7.96E-05,3.06E-04,7.87E-05,9.62E-01,
Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4,HXK2 HEX1 HKB YGL253W NRB486,P04807,5.16,486,53811.28,2,Carbohydrate metabolism; hexose metabolism. ,0,ATP binding; cytosol; fructose import; fructose metabolic process; glucose import; glycolysis; hexokinase activity; mannose metabolic process; mitochondrion; nucleus; regulation of cell size; regulation of transcription by glucose; replicative cell aging,3.04E-03,1.21E-03,3.82E-05,6.62E-05,7.95E+01,2.85E-03,3.98E-04,2.62E-03,1.76E-04,1.09E+00,2.33E-03,3.31E-04,2.60E-03,2.16E-04,8.96E-01,1.54E-03,4.89E-04,5.61E-05,9.72E-05,2.75E+01,9.60E-04,2.59E-05,0.00E+00,0.00E+00,---,1.15E-03,4.98E-04,0.00E+00,0.00E+00,---,
Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BFR1 PE=1 SV=1,BFR1 YOR198C,P38934,9.18,470,54639.3,0,0,0,RNA binding; mRNA metabolic process; meiosis; nuclear outer membrane-endoplasmic reticulum membrane network; polysome; regulation of mitosis,7.19E-04,3.63E-04,2.45E-04,1.32E-04,2.94E+00,2.19E-03,1.63E-04,7.89E-04,6.83E-05,2.78E+00,1.46E-03,5.04E-04,1.16E-03,2.31E-04,1.25E+00,3.54E-04,3.09E-04,9.59E-04,1.97E-04,3.69E-01,5.60E-04,1.60E-04,1.28E-03,1.26E-04,4.36E-01,4.65E-04,1.94E-04,1.16E-03,1.45E-04,4.01E-01,
Cluster of Transposon Ty1-BR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-BR PE=1 SV=1 (YB12B_YEAST),TY1B-BR YBRWTy1-2 POL YBR012W-B YBR0207,Q12193,8.6,1756,198869.12,3,0,Cytoplasm. Nucleus. ,"ATP binding; DNA binding; DNA integration; DNA recombination; DNA-directed DNA polymerase activity; RNA binding; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; cytoplasm; metal ion binding; peptidase activity; proteolysis; retrotransposon nucleocapsid; ribonuclease H activity; ribonuclease activity; transposition, RNA-mediated; viral procapsid maturation",---,---,---,---,---,1.01E-04,1.18E-05,3.22E-05,1.54E-05,3.15E+00,3.59E-04,1.41E-04,5.21E-05,2.73E-05,6.89E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
    Transposon Ty1-OL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-OL PE=2 SV=1,TY1B-OL YOLWTy1-1 POL YOL103W-B O0770,Q12273,8.22,1755,198614.48,3,0,Cytoplasm. Nucleus. ,"ATP binding; DNA binding; DNA integration; DNA recombination; DNA-directed DNA polymerase activity; RNA binding; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; cytoplasm; metal ion binding; peptidase activity; proteolysis; retrotransposon nucleocapsid; ribonuclease H activity; ribonuclease activity; transposition, RNA-mediated; viral procapsid maturation",0.00E+00,0.00E+00,9.20E-05,1.23E-05,0.00E+00,---,---,---,---,---,3.40E-04,1.39E-04,4.65E-05,1.77E-05,7.30E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
    Transposon Ty1-LR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-LR1 PE=1 SV=1,TY1B-LR1 YLRCTy1-1 POL YLR035C-A L1807,Q12088,8.68,1755,198461.55,3,0,Cytoplasm. Nucleus. ,"ATP binding; DNA binding; DNA integration; DNA recombination; DNA-directed DNA polymerase activity; RNA binding; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; cytoplasm; metal ion binding; nucleic acid phosphodiester bond hydrolysis; proteolysis; retrotransposon nucleocapsid; ribonuclease H activity; transposition, RNA-mediated; viral procapsid maturation",---,---,---,---,---,---,---,---,---,---,3.23E-04,9.40E-05,2.87E-05,2.59E-05,1.12E+01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
    Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-DR3 PE=1 SV=2,TY1B-DR3 YDRCTy1-2 POL YDR210C-D YD8142B.01,Q99231,8.53,1755,198838.86,3,0,Cytoplasm. Nucleus. ,"ATP binding; DNA binding; DNA integration; DNA recombination; DNA-directed DNA polymerase activity; RNA binding; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; cytoplasm; metal ion binding; peptidase activity; proteolysis; retrotransposon nucleocapsid; ribonuclease H activity; ribonuclease activity; transposition, RNA-mediated; viral procapsid maturation",---,---,---,---,---,---,---,---,---,---,3.10E-04,1.05E-04,4.65E-05,1.77E-05,6.67E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
    Transposon Ty1-NL2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-NL2 PE=2 SV=1,TY1B-NL2 YNLWTy1-2 POL YNL054W-B N2453,Q99337,8.68,1749,198198.19,3,0,Cytoplasm. Nucleus. ,"ATP binding; DNA binding; DNA integration; DNA recombination; DNA-directed DNA polymerase activity; RNA binding; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; cytoplasm; metal ion binding; peptidase activity; proteolysis; retrotransposon nucleocapsid; ribonuclease H activity; ribonuclease activity; transposition, RNA-mediated; viral procapsid maturation",---,---,---,---,---,8.72E-05,6.84E-07,2.71E-05,1.85E-05,3.22E+00,2.99E-04,1.16E-04,2.84E-05,3.48E-05,1.05E+01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Nascent polypeptide-associated complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EGD2 PE=1 SV=3,EGD2 YHR193C,P38879,4.84,174,18577.78,0,0,Cytoplasm. Nucleus. ,"'de novo' cotranslational protein folding; nascent polypeptide-associated complex; nucleus; phosphatidic acid binding; phosphatidylinositol-3,5-bisphosphate binding; phosphatidylinositol-3-phosphate binding; phosphatidylinositol-4-phosphate binding; protein transport; unfolded protein binding",4.78E-03,1.30E-03,1.20E-02,2.32E-03,3.97E-01,7.45E-03,6.54E-04,5.45E-03,3.57E-04,1.37E+00,4.14E-03,5.70E-04,7.97E-03,7.71E-04,5.20E-01,6.07E-03,2.31E-03,8.63E-03,3.03E-04,7.03E-01,5.91E-03,2.54E-04,1.02E-02,6.01E-04,5.78E-01,5.48E-03,7.95E-04,9.27E-03,6.53E-04,5.91E-01,
60S ribosomal protein L19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL19A PE=1 SV=1,RPL19A RPL23A YL14A YBR084C-A YBR084BC,P0CX82,11.35,189,21572.92,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; structural constituent of ribosome,2.46E-03,2.42E-03,9.08E-04,4.76E-04,2.71E+00,5.04E-03,5.10E-04,3.46E-03,2.13E-04,1.46E+00,6.09E-03,2.26E-03,3.54E-03,7.50E-04,1.72E+00,2.58E-03,3.04E-04,2.44E-04,8.72E-05,1.05E+01,1.77E-03,1.93E-04,3.82E-04,2.10E-04,4.63E+00,1.81E-03,3.47E-04,9.74E-05,1.69E-04,1.86E+01,
Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4,TKL1 YPR074C YP9499.29C,P23254,6.5,680,73674.45,2,0,0,cytoplasm; metal ion binding; pentose-phosphate shunt; transketolase activity,2.69E-03,5.22E-04,1.37E-05,2.37E-05,1.97E+02,6.55E-04,1.46E-04,1.73E-03,1.97E-04,3.78E-01,8.42E-04,2.01E-04,1.96E-03,7.15E-05,4.30E-01,2.23E-03,5.07E-04,2.84E-04,3.19E-05,7.84E+00,1.48E-03,7.32E-05,4.17E-04,1.24E-04,3.55E+00,1.76E-03,6.71E-04,4.00E-04,1.80E-05,4.42E+00,
Eukaryotic translation initiation factor 5A-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HYP2 PE=1 SV=3,HYP2 TIF51A YEL034W SYGP-ORF21,P23301,4.79,157,16983.09,0,0,Cytoplasm. ,cytosolic ribosome; mitochondrion; peptidyl-lysine modification to hypusine; positive regulation of translational elongation; positive regulation of translational initiation; positive regulation of translational termination; ribosome binding; translation elongation factor activity; translation initiation factor activity; translational frameshifting,2.84E-03,1.48E-04,1.09E-02,3.15E-03,2.61E-01,7.12E-03,1.42E-03,4.53E-03,2.91E-04,1.57E+00,9.23E-03,4.53E-03,6.21E-03,1.36E-03,1.49E+00,9.71E-03,3.89E-03,5.09E-03,9.44E-04,1.91E+00,1.18E-02,6.92E-04,3.67E-03,5.71E-04,3.22E+00,1.33E-02,3.44E-03,2.80E-03,1.25E-03,4.74E+00,
Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLT1 PE=1 SV=2,GLT1 YDL171C,Q12680,6.36,2145,231934.16,1,Amino-acid biosynthesis; L-glutamate biosynthesis via GLT pathway; L-glutamate from 2-oxoglutarate and L-glutamine (NAD(+) route): step 1/1. Energy metabolism; nitrogen metabolism. ,0,"3 iron, 4 sulfur cluster binding; FMN binding; L-glutamate biosynthetic process; ammonia assimilation cycle; flavin adenine dinucleotide binding; glutamate biosynthetic process; glutamate synthase (NADH) activity; iron ion binding; mitochondrion",---,---,---,---,---,3.57E-05,1.81E-05,4.82E-05,3.28E-05,7.39E-01,7.86E-05,7.28E-05,3.34E-05,1.61E-05,2.35E+00,1.86E-05,1.80E-05,0.00E+00,0.00E+00,---,2.24E-05,1.02E-05,0.00E+00,0.00E+00,---,5.62E-06,9.73E-06,4.37E-06,7.57E-06,1.29E+00,
Cluster of Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4 (HSP7F_YEAST),SSE1 MSI3 YPL106C LPG3C,P32589,5.12,693,77235.23,0,0,Cytoplasm. ,ATP binding; adenyl-nucleotide exchange factor activity; cytoplasm; peptide binding; polysome; protein refolding; response to stress,3.13E-04,4.06E-04,1.94E-04,3.08E-05,1.62E+00,9.73E-04,3.59E-05,9.59E-04,1.91E-05,1.01E+00,7.05E-04,2.66E-04,1.31E-03,8.42E-05,5.39E-01,6.54E-04,1.28E-04,4.53E-04,1.26E-04,1.44E+00,5.00E-04,7.15E-05,3.47E-04,1.38E-04,1.44E+00,4.14E-04,2.72E-04,3.25E-04,4.44E-05,1.27E+00,
"Glutamate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUS1 PE=1 SV=3",GUS1 YGL245W G0583 HRB724,P46655,7.21,708,80842.75,6,0,Cytoplasm. ,ATP binding; RNA binding; glutamate-tRNA ligase activity; glutamyl-tRNA aminoacylation; methionyl glutamyl tRNA synthetase complex; mitochondrion,3.35E-04,2.20E-04,0.00E+00,0.00E+00,---,5.74E-04,2.02E-04,4.41E-04,9.74E-05,1.30E+00,1.03E-03,1.25E-04,5.24E-04,1.99E-04,1.97E+00,2.45E-04,7.28E-05,2.62E-05,2.27E-05,9.34E+00,1.86E-04,6.05E-05,0.00E+00,0.00E+00,---,1.04E-04,4.15E-06,1.30E-05,2.25E-05,8.00E+00,
